City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ambilobe,100,MG,1634782477,86,-13.2,49.05,68.2,2.84
Thompson,100,CA,1634735579,76,55.7435,-97.8558,30.04,5.39
Busselton,93,AU,1634765418,64,-33.65,115.3333,59.09,15.97
Souillac,5,MU,1634780073,83,-20.5167,57.5167,71.37,7.63
Hualmay,85,PE,1634726596,85,-11.0964,-77.6139,63.75,10.8
Kruisfontein,100,ZA,1634787121,61,-34.0033,24.7314,61.83,2.53
Hithadhoo,100,MV,1634777299,74,-0.6,73.0833,81.61,9.48
Hay River,32,CA,1634740689,71,60.8156,-115.7999,39.02,9.06
Ushuaia,20,AR,1634721054,42,-54.8,-68.3,46.06,11.5
Tolbazy,39,RU,1634784925,96,54.0241,55.8825,30.96,9.71
Mataura,1,NZ,1634751545,40,-46.1927,168.8643,57.96,2.3
Port Hardy,75,CA,1634742078,93,50.6996,-127.4199,51.98,6.91
Punta Arenas,40,CL,1634721916,49,-53.15,-70.9167,46.51,18.41
Bluff,10,NZ,1634751631,59,-46.6,168.3333,49.59,9.89
Berezovyy,75,RU,1634765463,64,51.6667,135.7,32.34,2.64
Villa Carlos Paz,0,AR,1634722359,43,-31.4241,-64.4978,70.39,1.99
Te Anau,15,NZ,1634751898,66,-45.4167,167.7167,51.91,3.22
Castro,15,BR,1634719280,94,-24.7911,-50.0119,51.13,9.19
Port Alfred,87,ZA,1634786631,83,-33.5906,26.891,62.67,12.44
Longyearbyen,0,SJ,1634804977,62,78.2186,15.6401,13.84,5.75
Kaitangata,20,NZ,1634751301,54,-46.2817,169.8464,53.38,7.58
Ribeira Grande,81,PT,1634803787,64,38.5167,-28.7,70.27,4.47
Bongandanga,100,CD,1634789881,100,1.5,21.05,69.04,2.01
Hong Kong,100,HK,1634768513,81,22.2855,114.1577,82.45,1.99
Pevek,100,RU,1634760820,91,69.7008,170.3133,18.16,13.13
Havøysund,100,NO,1634796436,64,70.9963,24.6622,29.28,29.82
Forsytheganj,100,BY,1634791038,62,52.6333,29.7333,52.32,15.93
North Platte,1,US,1634734822,70,41.1239,-100.7654,43.38,1.99
Hofn,44,IS,1634803793,57,64.2539,-15.2082,33.96,9.95
Rikitea,41,PF,1634739750,67,-23.1203,-134.9692,74.77,20.38
Isangel,100,VU,1634753317,88,-19.55,169.2667,77.59,13.09
Saint-Philippe,38,RE,1634780448,76,-21.3585,55.7679,72.95,9.98
Puerto Ayora,100,EC,1634730123,88,-0.7393,-90.3518,69.73,8.37
Sørland,100,NO,1634798034,97,67.667,12.6934,37.02,19.42
San Cristobal,52,VE,1634726151,91,7.7669,-72.225,69.98,1.97
Nikolskoye,100,RU,1634791800,93,59.7035,30.7861,54.01,11.77
Atuona,10,PF,1634741393,81,-9.8,-139.0333,77.13,14.72
Vanavara,97,RU,1634774725,90,60.34,102.2797,32.9,5.93
Saskylakh,100,RU,1634775348,95,71.9167,114.0833,14.09,5.93
Lagoa,1,PT,1634803653,62,39.05,-27.9833,68.5,1.07
Lander,1,US,1634736867,75,42.833,-108.7307,48.81,3.44
Yulin,100,CN,1634769494,93,22.6333,110.15,63.27,8.41
Ponta do Sol,99,PT,1634800611,79,32.6667,-17.1,74.03,6.96
Butaritari,9,KI,1634753537,76,3.0707,172.7902,81.36,12.55
Stepnyak,100,KZ,1634781198,66,52.8339,70.7803,45.28,15.86
São João da Barra,100,BR,1634717302,90,-21.6403,-41.0511,65.21,13.02
Hobart,75,AU,1634757024,52,-42.8794,147.3294,69.26,5.99
Iqaluit,90,CA,1634729913,80,63.7506,-68.5145,31.73,3.0
Hermanus,70,ZA,1634788410,81,-34.4187,19.2345,64.9,4.43
Oussouye,95,SN,1634799410,81,12.485,-16.5469,79.2,5.06
Qaanaaq,49,GL,1634737301,96,77.484,-69.3632,10.13,4.81
Mount Vernon,40,US,1634728338,61,40.9126,-73.8371,71.62,1.99
Lebu,100,CL,1634724125,87,-37.6167,-73.65,52.54,5.53
Provideniya,0,RU,1634841849,69,64.3833,-173.3,32.11,2.24
Palmer,25,US,1634728071,78,42.1584,-72.3287,62.92,2.91
Hamilton,1,US,1634730782,72,39.1834,-84.5333,63.91,0.0
Jiazi,100,CN,1634768086,80,22.8779,116.067,78.04,7.49
Ust-Kuyga,100,RU,1634769302,95,70.0167,135.6,10.42,5.3
Thurles,100,IE,1634800064,89,52.6819,-7.8022,48.92,15.01
Yumen,17,CN,1634773678,27,40.2833,97.2,40.5,6.4
Hiroshima,100,JP,1634764805,54,34.3963,132.4594,62.37,6.17
Pisco,0,PE,1634726137,82,-13.7,-76.2167,62.02,16.11
Mtwara,100,TZ,1634784746,89,-10.2667,40.1833,72.05,5.19
Chapais,100,CA,1634729351,96,49.7834,-74.8492,38.98,7.99
New Norfolk,100,AU,1634757097,47,-42.7826,147.0587,68.92,1.99
Marabu,91,MY,1634767704,82,4.4148,114.0089,79.54,3.56
East London,99,ZA,1634786426,80,-33.0153,27.9116,62.38,12.06
Hilo,1,US,1634746598,65,19.7297,-155.09,80.33,8.05
Avarua,75,CK,1634745804,65,-21.2078,-159.775,77.05,6.91
Luanda,100,AO,1634791280,79,-8.8368,13.2343,75.13,6.51
Leh,0,IN,1634777969,49,34.1667,77.5833,39.27,2.73
Kapaa,1,US,1634747731,65,22.0752,-159.319,82.47,1.99
Yellowknife,100,CA,1634740659,89,62.456,-114.3525,41.56,11.01
Saint-Augustin,100,CA,1634725610,85,51.226,-58.6502,44.87,13.8
Kavaratti,100,IN,1634777913,73,10.5669,72.642,82.13,8.81
Santa Isabel Rio Negro,90,BR,1634724058,98,-0.4139,-65.0192,73.6,3.49
Amqui,100,CA,1634727438,97,48.4638,-67.4313,44.78,2.91
Dingle,89,PH,1634765925,80,10.9995,122.6711,83.3,6.67
Port Elizabeth,92,ZA,1634786925,87,-33.918,25.5701,61.92,5.73
Peniche,21,PT,1634799208,94,39.3558,-9.3811,66.56,10.92
Ţahţā,0,EG,1634788596,56,26.7693,31.5021,69.01,12.24
Hailar,6,CN,1634769044,79,49.2,119.7,29.82,3.96
Saint George,1,US,1634737615,29,37.1041,-113.5841,68.95,3.0
Gondanglegi,100,ID,1634767630,60,-7.7479,112.0132,85.82,9.64
Meadow Lake,4,US,1634735774,25,34.8014,-106.5436,63.88,4.14
Tortoman,0,RO,1634790571,77,44.35,28.2167,47.05,10.96
Samarai,90,PG,1634758221,75,-10.6167,150.6667,83.21,9.75
Fortuna,20,US,1634740401,70,40.5982,-124.1573,63.36,4.0
Sobolevo,100,RU,1634790741,81,54.4299,31.8996,48.43,17.36
Albany,37,US,1634728498,65,42.6001,-73.9662,64.81,4.72
Ambovombe,69,MG,1634782558,93,-25.1667,46.0833,68.94,3.83
Amga,99,RU,1634767690,83,60.8953,131.9608,26.26,8.25
Avera,43,US,1634729907,56,33.194,-82.5271,65.71,5.23
Cape Town,30,ZA,1634788639,69,-33.9258,18.4232,62.1,7.0
Mahébourg,5,MU,1634780035,79,-20.4081,57.7,71.26,8.55
Griffith,90,US,1634731648,68,41.5284,-87.4237,69.62,1.99
Morón,3,AR,1634720734,82,-34.6534,-58.6198,68.02,3.0
Safford,1,US,1634736412,20,32.834,-109.7076,79.05,0.0
Vao,100,NC,1634753579,93,-22.6667,167.4833,70.74,16.11
Jamestown,75,US,1634729725,67,42.097,-79.2353,60.12,6.91
Leningradskiy,100,RU,1634758748,96,69.3833,178.4167,26.2,16.73
Arraial do Cabo,100,BR,1634717465,80,-22.9661,-42.0278,65.37,6.91
Tasiilaq,81,GL,1634722935,43,65.6145,-37.6368,50.16,10.65
Mandapam,100,IN,1634776300,79,9.2833,79.1167,81.12,9.86
Barrow,90,US,1634753577,86,71.2906,-156.7887,28.42,20.71
Ishigaki,74,JP,1634766220,79,24.3448,124.1572,79.65,13.4
Pacific Grove,90,US,1634739584,77,36.6177,-121.9166,64.6,1.99
Huejuquilla el Alto,71,MX,1634734445,50,22.6,-103.8667,70.47,0.58
Ambanja,67,MG,1634782597,87,-13.6833,48.45,71.38,2.39
Khatanga,100,RU,1634778163,97,71.9667,102.5,22.89,3.71
Den Helder,75,NL,1634797079,94,52.9599,4.7593,55.98,3.0
George Town,20,MY,1634771031,91,5.4112,100.3354,78.73,4.61
Faanui,0,PF,1634744122,78,-16.4833,-151.75,79.34,8.88
Esperance,3,AU,1634763829,60,-33.8667,121.9,62.44,20.07
Aswān,0,EG,1634788114,38,24.0934,32.907,72.91,15.59
Rio Grande,17,BR,1634719346,65,-32.035,-52.0986,58.95,12.19
Matara,66,LK,1634775807,88,5.9485,80.5353,77.54,4.54
Guerrero Negro,0,MX,1634737177,73,27.9769,-114.0611,66.43,13.31
Buala,56,SB,1634756195,66,-8.145,159.5921,86.32,5.57
San Patricio,9,US,1634733206,72,28.017,-97.5169,78.89,7.05
Doaba,0,PK,1634779566,23,33.4244,70.7364,65.08,2.8
Bambous Virieux,6,MU,1634780025,79,-20.3428,57.7575,71.22,8.3
Nome,90,US,1634753391,87,64.5011,-165.4064,35.67,9.22
Airai,75,TL,1634764361,35,-8.9266,125.4092,77.9,1.99
Vardø,100,NO,1634794605,80,70.3705,31.1107,33.76,24.99
Cidreira,78,BR,1634719010,70,-30.1811,-50.2056,63.18,16.62
Sinnamary,72,GF,1634721419,82,5.3833,-52.95,79.99,10.51
Tiksi,100,RU,1634771671,94,71.6872,128.8694,11.62,5.84
Constitución,81,CL,1634723995,89,-35.3333,-72.4167,50.9,4.03
Mar del Plata,0,AR,1634720237,46,-38.0023,-57.5575,61.09,5.99
Tuatapere,1,NZ,1634751834,52,-46.1333,167.6833,55.04,5.77
Padang,92,ID,1634770739,84,-0.9492,100.3543,77.05,2.82
Safaga,0,EG,1634788010,52,26.7292,33.9365,74.88,20.58
Nabire,39,ID,1634762200,69,-3.3667,135.4833,84.88,2.66
Guangzhou,99,CN,1634768774,74,23.1167,113.25,75.99,12.95
Salalah,20,OM,1634782670,78,17.0151,54.0924,77.09,3.44
Codrington,97,AU,1634758695,62,-38.2667,141.9667,68.7,14.43
Pasni,9,PK,1634780839,77,25.2631,63.471,77.94,7.27
Camaquã,50,BR,1634719353,83,-30.8511,-51.8122,56.73,4.85
Wanning,100,CN,1634769242,84,18.8003,110.3967,80.74,2.26
Tura,93,IN,1634774430,99,25.5198,90.2201,71.67,3.36
Morristown,1,US,1634730282,80,36.214,-83.2949,60.75,0.0
Vaini,95,TO,1634835860,67,-21.2,-175.2,74.14,21.09
Chokurdakh,88,RU,1634766596,95,70.6333,147.9167,-13.54,3.09
Cairns,40,AU,1634759090,71,-16.9167,145.7667,93.94,12.66
Bethel,75,US,1634728271,73,41.3712,-73.414,67.66,0.0
Bitkine,100,TD,1634791043,71,11.9801,18.2138,76.3,7.0
Sawākin,14,SD,1634786796,75,19.1059,37.3321,79.9,8.3
Yenagoa,100,NG,1634793585,95,4.9247,6.2642,75.51,2.8
Siderno,0,IT,1634792962,73,38.2779,16.302,64.83,6.96
Dikson,100,RU,1634784337,57,73.5069,80.5464,27.66,10.38
Marsá Maţrūḩ,3,EG,1634789882,66,31.3525,27.2453,68.22,10.76
Oga,100,IT,1634795052,93,46.4631,10.347,46.24,8.68
Lanzhou,17,CN,1634771797,60,36.0564,103.7922,46.62,0.83
Cabo San Lucas,20,MX,1634735911,67,22.8909,-109.9124,83.52,3.0
Lüderitz,37,NA,1634789889,82,-26.6481,15.1594,55.96,10.56
Tuktoyaktuk,19,CA,1634747089,82,69.4541,-133.0374,26.42,6.82
Arcata,20,US,1634740403,69,40.8665,-124.0828,63.63,4.0
Mchinji,100,MW,1634786327,87,-13.7984,32.8802,60.08,5.55
São Filipe,0,CV,1634801433,57,14.8961,-24.4956,82.42,7.49
Burnie,100,AU,1634757521,87,-41.0667,145.9167,57.94,11.68
Mount Gambier,81,AU,1634759016,53,-37.8333,140.7667,70.29,8.55
Ponta Delgada,20,PT,1634803003,82,37.7333,-25.6667,61.52,5.75
Gräfenhainichen,100,DE,1634795086,67,51.7333,12.45,64.42,7.0
Klaksvík,100,FO,1634801267,66,62.2266,-6.589,41.92,32.55
Esim,100,GH,1634795624,87,4.8699,-2.2405,77.74,9.1
Sitka,90,US,1634744770,81,57.0531,-135.33,48.09,16.11
Fuxin,7,CN,1634767935,35,42.0156,121.6589,48.27,2.24
Lompoc,1,US,1634739105,75,34.6391,-120.4579,67.14,5.75
Port Lincoln,5,AU,1634760419,57,-34.7333,135.8667,66.51,11.7
Zyryanka,52,RU,1634764230,71,65.75,150.85,4.12,6.2
Puerto Maldonado,97,PE,1634724502,53,-12.6,-69.1833,81.86,1.9
Olafsvik,61,IS,1634805998,77,64.8945,-23.7142,43.27,23.55
Norman Wells,82,CA,1634744306,93,65.282,-126.8329,27.45,4.34
Emba,22,KZ,1634783796,74,48.8264,58.1442,33.66,17.27
Abu Samrah,0,SY,1634787744,72,35.3029,37.1841,61.27,3.56
Othaya,100,KE,1634785969,97,-0.5652,36.9609,60.28,3.13
Sagamu,100,NG,1634794301,98,6.8432,3.6478,74.95,4.14
College,75,US,1634749243,60,64.8569,-147.8028,37.35,3.44
Chany,100,RU,1634780075,62,55.3121,76.7647,41.94,8.97
Benguela,100,AO,1634791059,83,-12.5763,13.4055,74.07,5.75
Sangar,57,RU,1634769398,91,63.9242,127.4739,14.11,3.67
Iberia,40,US,1634731930,100,29.9502,-91.7507,76.1,0.0
Kumul,100,CN,1634774773,20,42.8,93.45,55.29,7.67
Bengkulu,21,ID,1634770151,82,-3.8004,102.2655,78.21,2.3
Mehamn,100,NO,1634795687,61,71.0357,27.8492,34.12,25.28
Karpathos,6,GR,1634790152,68,35.507,27.2132,64.36,17.27
Carnarvon,75,AU,1634766373,56,-24.8667,113.6333,71.67,14.97
Matale,91,LK,1634775855,95,7.4721,80.6234,72.54,1.79
Altay,2,CN,1634776500,41,47.8667,88.1167,39.97,8.99
Ilulissat,100,GL,1634727279,74,69.2167,-51.1,23.02,1.14
Huánuco,71,PE,1634726321,86,-9.9329,-76.2415,65.62,2.98
Nador,0,MA,1634797368,88,35.174,-2.9287,61.05,3.44
Brae,88,GB,1634799651,61,60.3964,-1.353,42.71,32.77
Ngunguru,100,NZ,1634751092,98,-35.6167,174.5,61.16,18.61
Brigantine,1,US,1634728356,75,39.4101,-74.3646,68.02,4.61
Korla,0,CN,1634776445,28,41.7597,86.1469,51.12,2.04
Carballo,81,ES,1634799342,90,43.213,-8.691,58.87,2.42
Oodweyne,7,SO,1634784479,28,9.4092,45.064,71.62,10.29
San Ignacio,100,BZ,1634730626,99,17.1561,-89.0714,74.26,2.59
Zhigansk,100,RU,1634771127,93,66.7697,123.3711,22.28,12.03
Khor,0,RU,1634765251,41,47.8861,134.9464,35.87,6.6
Kars,0,TR,1634786697,93,40.602,43.095,25.65,2.3
Laas,100,IT,1634794981,92,46.6166,10.7002,53.62,6.15
Xining,99,CN,1634772321,90,36.6167,101.7667,39.04,1.41
Tara,100,RU,1634780873,64,56.8944,74.371,41.41,7.27
Mitú,77,CO,1634725367,98,1.1983,-70.1733,71.78,2.59
Manono,100,CD,1634787949,86,-7.3,27.4167,70.34,2.44
Joinville,100,BR,1634718915,98,-26.3044,-48.8456,62.55,0.04
Ussel,100,FR,1634796898,92,45.55,2.3167,47.73,12.21
Acapulco de Juárez,75,MX,1634733209,83,16.8634,-99.8901,82.22,3.44
Huarmey,92,PE,1634726773,85,-10.0681,-78.1522,64.6,10.6
Chui,3,UY,1634719563,79,-33.6971,-53.4616,55.49,7.74
Luena,90,AO,1634789536,95,-11.7833,19.9167,61.66,0.67
Takoradze,100,GH,1634795508,91,4.8845,-1.7554,76.89,8.57
Saint Paul Harbor,90,US,1634748985,76,57.79,-152.4072,44.11,12.66
Alexandria,5,EG,1634789223,57,31.2156,29.9553,71.15,11.16
Gizo Government Station,99,SB,1634756857,73,-8.103,156.8419,83.55,3.15
Sola,100,VU,1634754014,80,-13.8833,167.55,81.18,13.65
Omboué,100,GA,1634792570,88,-1.5746,9.2618,76.24,5.3
Sulangan,100,PH,1634765679,76,11.1373,123.7228,83.25,9.37
Bredasdorp,100,ZA,1634788208,98,-34.5322,20.0403,59.29,3.67
Zhangye,0,CN,1634772798,34,38.9342,100.4517,45.97,2.93
San Lorenzo,0,PY,1634721054,60,-25.3333,-57.5333,68.94,4.61
Pangnirtung,16,CA,1634729830,78,66.1451,-65.7125,28.29,5.21
Saint-Joseph,20,RE,1634780483,72,-21.3667,55.6167,71.96,8.19
Puerto Escondido,100,MX,1634732483,82,15.85,-97.0667,80.24,3.96
Opuwo,4,NA,1634790680,43,-18.0607,13.84,63.77,2.75
Lavrentiya,100,RU,1634841609,99,65.5833,-171.0,32.97,3.27
Port Augusta,0,AU,1634760116,35,-32.5,137.7667,77.7,7.99
Liverpool,75,GB,1634798993,86,53.4106,-2.9779,49.95,7.0
Upernavik,100,GL,1634730101,99,72.7868,-56.1549,32.72,5.41
Sanguéya,100,GN,1634798803,92,10.7,-14.3667,76.68,2.73
Yanam,100,IN,1634775905,94,16.7333,82.2167,81.0,2.59
Victor Harbor,60,AU,1634759700,66,-35.5667,138.6167,70.81,3.0
Balkanabat,11,TM,1634783908,50,39.5108,54.3671,52.88,10.27
Alice Springs,0,AU,1634761582,21,-23.7,133.8833,83.75,9.22
Mackay,13,AU,1634758047,68,-21.15,149.2,83.05,14.38
Moba,100,CN,1634771322,75,33.2288,105.0179,44.46,4.0
Mahon,20,ES,1634795970,82,39.8885,4.2658,66.76,8.05
Gwanda,0,ZW,1634786892,74,-20.9333,29.0,57.31,4.83
Gravdal,100,NO,1634797989,97,68.1214,13.5031,33.3,13.78
Broome,15,US,1634728920,63,42.2506,-75.833,59.67,1.01
Anadyr,90,RU,1634757567,93,64.75,177.4833,23.5,13.42
Bilma,0,NE,1634792637,16,18.6853,12.9164,81.23,7.92
Ostrovnoy,100,RU,1634791707,73,68.0531,39.5131,31.73,18.12
Adamovka,99,RU,1634783651,73,51.5223,59.9396,34.09,15.19
Chu,80,KZ,1634779568,30,43.5983,73.7614,54.23,6.2
La Ronge,8,CA,1634737278,59,55.1001,-105.2842,37.33,10.8
Katsuura,100,JP,1634762970,59,35.1333,140.3,63.19,9.66
Tūkrah,0,LY,1634791555,76,32.5341,20.5791,66.04,8.5
Alenquer,20,BR,1634721523,77,-1.9417,-54.7383,79.14,1.3
Nsanje,70,MW,1634785599,87,-16.92,35.262,68.9,3.51
Cherskiy,100,RU,1634762637,100,68.75,161.3,-1.89,5.28
Hlotse,57,LS,1634786663,46,-28.8718,28.045,52.59,1.36
Constantine,0,DZ,1634795156,48,36.365,6.6147,57.58,6.35
Ardmore,1,US,1634733478,72,34.1743,-97.1436,73.65,4.0
Jacksonville,40,US,1634729528,80,30.3322,-81.6556,74.98,4.61
Teya,100,RU,1634777053,85,60.3778,92.6267,34.03,5.01
Ponta Porã,0,BR,1634720774,71,-22.5361,-55.7256,62.55,8.68
Obo,100,CF,1634788754,98,5.3998,26.4869,68.32,3.74
Tacna,100,PE,1634724494,78,-18.0056,-70.2483,52.7,2.01
Nantucket,1,US,1634727469,89,41.2835,-70.0995,64.96,6.91
Mahon,20,ES,1634795970,82,39.8885,4.2658,66.76,8.05
Siyabuswa,43,ZA,1634786648,56,-25.1132,29.0445,60.76,4.5
Kuching,20,MY,1634768457,89,1.55,110.3333,80.82,5.75
Ust'-Ishim,100,RU,1634781764,64,57.6935,71.1665,41.52,4.12
Diamantino,86,BR,1634721360,81,-14.4086,-56.4461,76.82,1.81
Butterworth,20,MY,1634771023,90,5.3991,100.3638,78.84,4.61
Cururupu,53,BR,1634719160,87,-1.8283,-44.8683,76.1,3.44
Kavieng,85,PG,1634758561,73,-2.5744,150.7967,83.35,5.97
Mandera,87,KE,1634784996,69,3.9366,41.867,78.48,13.96
Flinders,36,AU,1634756835,65,-34.5833,150.8552,73.8,7.11
Gaffney,50,US,1634729813,59,35.0718,-81.6498,64.65,5.73
